x,y,traffic
1843,2124,27.731627
1942,2124,1.88489
1943,2124,0.42735
1944,2124,5.437206
1945,2124,6.656869
1946,2124,12.888721
1979,2124,8.771358
1980,2124,3.194813
2004,2124,10.530793
1345,529,0.118443
1384,529,0.072289
1385,529,0.072289
1386,529,0.03125
1398,529,0.301724
1399,529,0.051724
1400,529,0.413793
1517,529,36.179951
1518,529,21.582846
1519,529,25.436769
1520,529,14.398262
1521,529,25.11488
1522,529,36.162796
1523,529,58.796127
1524,529,50.056202
1525,529,69.586304
1526,529,45.89695
1527,529,32.752533
1528,529,20.11293
1529,529,41.025837
2202,2124,6.670859
2207,2124,50.785248
1549,529,27.939709
1551,529,30.378546
2208,2124,177.797699
1552,529,40.639748
1554,529,82.435455
2218,2124,0.886076
2221,2124,4.993304
2264,2124,2.858397
2267,2124,1.251942
2272,2124,1.056124
2297,2124,1.338709
2298,2124,1.227933
2299,2124,1.301471
2300,2124,11.356856
2301,2124,27.230867
1663,529,5.119632
1664,529,47.722786
2351,2124,2.15887
2354,2124,5.134017
2355,2124,1.841271
1665,529,7.223112
1706,529,18.587343
1718,529,5.169242
1719,529,3.928215
1720,529,0.563369
1721,529,0.014613
1722,529,0.042786
1723,529,0.013691
1724,529,0.006711
1726,529,0.014085
1727,529,0.032266
1728,529,0.032266
1729,529,0.032266
1730,529,0.021547
1731,529,0.014085
1732,529,0.02835
1733,529,0.042239
1734,529,0.136823
1735,529,0.964652
1736,529,3.156111
1737,529,11.272433
1820,529,0.032326
1822,529,0.765138
1861,529,11.269669
1862,529,3.000625
1863,529,0.982548
1899,529,26.992569
1903,529,3.648635
1927,529,4.109859
1929,529,2.808118
2094,529,7.289229
2095,529,0.032894
2096,529,0.130633
2097,529,0.027414
2098,529,0.67883
1837,2443,0.06326
1838,2443,0.070203
1839,2443,0.044033
1840,2443,0.103247
1841,2443,0.461835
1846,2443,0.802787
1848,2443,0.090347
1849,2443,0.063484
1850,2443,34.106491
1854,2443,90.222679
1855,2443,0.156649
1857,2443,0.254547
1858,2443,0.065412
1859,2443,0.88906
1860,2443,0.596178
1861,2443,0.530482
1862,2443,4.329185
1863,2443,0.122068
1865,2443,0.097484
1866,2443,0.353078
1867,2443,0.081633
1868,2443,1.137483
1869,2443,0.149388
1870,2443,0.105553
1871,2443,0.113889
1872,2443,0.289686
1885,2443,9.875109
1886,2443,11.4303
1887,2443,6.559984
1888,2443,1.086902
1889,2443,17.067703
1890,2443,42.25267
107,848,0.09882
108,848,0.05191
109,848,0.069828
121,848,209.668289
122,848,214.639999
123,848,463.644104
2022,2443,0.244199
2040,2443,2.745419
2041,2443,1.056232
2043,2443,0.460842
175,848,0.041328
176,848,0.009252
177,848,0.027556
178,848,0.038662
179,848,0.019188
2072,2443,1.264408
2074,2443,0.986276
2075,2443,0.657487
2076,2443,0.057177
2077,2443,1.068966
180,848,0.030943
181,848,0.236457
182,848,0.246007
183,848,0.14221
184,848,0.613363
200,848,0.740675
201,848,0.777149
202,848,0.691918
203,848,0.437961
204,848,0.506025
205,848,0.488373
206,848,0.209859
207,848,0.361715
208,848,0.279953
209,848,0.220384
210,848,0.826634
211,848,18.631071
217,848,1.627711
2094,2443,11.144613
218,848,0.534933
219,848,1.98236
220,848,1.073346
221,848,0.99952
222,848,0.424989
223,848,0.564968
224,848,0.601707
225,848,0.312298
226,848,0.267631
227,848,0.604085
232,848,1.548508
233,848,4.462372
234,848,7.536514
235,848,2.217196
236,848,4.390073
237,848,3.662844
2121,2443,4.055474
238,848,0.428663
239,848,3.79696
240,848,3.276185
241,848,0.360242
242,848,3.292245
243,848,12.557656
244,848,0.40873
245,848,3.718005
246,848,3.004136
247,848,0.177744
248,848,0.028203
249,848,0.095604
250,848,0.593921
252,848,0.307975
2142,2443,19.932543
284,848,7.320318
2165,2443,6.18855
301,848,5.55373
302,848,4.768651
2198,2443,0.024594
2199,2443,0.029316
2200,2443,0.048388
2201,2443,3.029667
2202,2443,0.465575
2203,2443,0.060719
2204,2443,0.052067
2205,2443,0.102626
2206,2443,0.146104
2207,2443,0.189495
2209,2443,0.538773
2210,2443,0.050997
2212,2443,0.028224
2216,2443,1.753901
2218,2443,4.116149
2219,2443,8.490323
2220,2443,4.091352
2221,2443,0.000206
2222,2443,0.000206
2223,2443,0.008503
2224,2443,0.016732
2225,2443,0.04154
2226,2443,0.000206
2227,2443,0.016746
2230,2443,0.133028
2231,2443,0.10365
2232,2443,0.088659
2233,2443,0.113696
2235,2443,4.074147
2236,2443,0.008503
2237,2443,1.227738
2238,2443,2.443979
339,848,75.904877
340,848,15.30305
341,848,25.64645
342,848,40.575859
560,848,2.094619
561,848,1.925125
563,848,96.807297
564,848,124.519508
565,848,61.197906
566,848,78.19648
567,848,76.758911
568,848,53.238277
569,848,65.487709
570,848,101.739471
571,848,51.181355
586,848,347.842651
1864,1805,2.057415
1895,1805,6.798182
1896,1805,5.151448
1897,1805,2.764708
1898,1805,7.073831
1899,1805,6.030933
1900,1805,3.729449
1901,1805,1.796612
1902,1805,208.645172
1903,1805,168.659454
1904,1805,983.783142
1905,1805,1351.721436
1019,848,5.366924
1034,848,40.71899
1035,848,210.283737
1036,848,208.483246
1037,848,207.322418
1038,848,208.515396
1039,848,165.456161
1040,848,160.381927
1041,848,135.784485
1042,848,138.456024
1044,848,16.538218
1243,848,29.67244
1616,848,293.561584
1617,848,126.399597
1618,848,133.138718
1619,848,141.655319
1620,848,177.285675
1621,848,198.753494
1622,848,546.689331
1623,848,110.886635
1625,848,19.382633
1626,848,29.446466
1627,848,18.445663
1628,848,69.767197
1629,848,27.221117
1710,848,29.442558
1711,848,46.632301
1712,848,6.51974
1817,848,1.00018
1824,848,19.820461
1825,848,16.557814
1826,848,6.386503
1827,848,21.302954
1828,848,82.80201
1829,848,48.631851
1830,848,20.405571
1831,848,18.594986
1832,848,138.715302
1833,848,81.834564
1834,848,17.803698
1835,848,11.509172
1838,848,12.443278
1839,848,108.808594
1840,848,37.427483
1841,848,53.907455
1842,848,50.719269
1843,848,60.31311
1844,848,21.341125
1847,848,14.557417
1848,848,13.599295
1849,848,44.899551
1853,848,0.405453
1855,848,7.091137
1880,848,145.89209
1881,848,123.933693
2470,848,4.759073
2471,848,1.978314
118,210,95.862892
119,210,70.924614
120,210,61.682343
121,210,163.749786
122,210,198.942017
124,210,214.968338
310,210,66.234222
496,210,3.276549
497,210,11.375633
509,210,7.346282
510,210,0.338244
511,210,0.309132
512,210,1.855618
513,210,0.977591
514,210,2.148937
515,210,0.518091
516,210,1.872605
517,210,1.412979
518,210,1.401287
519,210,0.507354
520,210,1.242907
521,210,0.869322
522,210,0.86549
523,210,1.976315
524,210,2.596141
975,210,22.17569
976,210,42.954037
1031,210,16.295019
1035,210,27.957901
1036,210,18.664164
1037,210,28.04591
1038,210,22.004887
1095,210,86.25132
1311,210,19.612902
1312,210,4.720188
1313,210,8.095842
1314,210,5.401634
1315,210,3.612481
1316,210,1.647586
1323,210,14.275572
1324,210,26.419964
1392,210,70.6035
1538,210,7.262821
1607,210,12.276466
1608,210,15.521301
1612,210,8.065649
106,1168,3.314317
202,1168,6.029322
1857,210,0.413553
1858,210,0.235748
212,1168,0.39259
213,1168,0.39259
214,1168,0.395982
215,1168,0.278145
218,1168,0.305513
1867,210,1.478861
1868,210,1.467315
1874,210,0.111152
1876,210,0.434293
1877,210,0.119496
1878,210,0.103168
1880,210,0.208356
1881,210,1.223468
1884,210,0.566002
1885,210,2.222819
220,1168,0.516546
221,1168,0.635917
222,1168,0.635917
1886,210,2.4998
1887,210,1.211248
1888,210,1.046628
1889,210,2.478164
1891,210,13.272931
1892,210,4.012044
1893,210,2.410214
1894,210,0.301523
1895,210,0.812987
1896,210,1.995772
1897,210,3.633665
1898,210,28.047192
1899,210,0.089124
1900,210,2.058048
1901,210,2.424852
1902,210,7.605593
1905,210,4.958686
1906,210,10.860575
240,1168,25.83444
258,1168,29.601318
259,1168,14.640081
1968,210,0.710537
1977,210,0.696339
2108,210,0.063011
2109,210,0.054046
2110,210,1.796887
2188,210,77.357368
2189,210,63.271408
2190,210,60.168762
851,1168,11.199991
852,1168,16.39999
954,1168,11088.753906
1381,1168,3296.608887
1382,1168,47.731377
1383,1168,0.411089
1535,1168,0.553719
1602,1168,1.271374
1603,1168,0.265306
1344,530,0.331755
1345,530,0.03125
1384,530,0.046154
1385,530,0.051724
1396,530,0.88371
1397,530,0.25
1398,530,0.04
1399,530,0.024096
1400,530,2.150218
1401,530,11.476658
1402,530,6.700844
1405,530,11.75482
1406,530,28.934597
1407,530,15.999881
1408,530,15.536696
1490,530,66.212471
1509,530,8.433037
1510,530,7.017451
1511,530,7.647154
1512,530,7.54753
1513,530,13.103656
1514,530,7.23546
1517,530,4.597713
1518,530,5.328798
1521,530,1.778624
2217,1168,17.482258
1529,530,9.331243
1532,530,3.935318
2314,1168,125.974907
2315,1168,157.8396
1663,530,31.807068
1664,530,13.013885
1665,530,5.455828
1668,530,5.44207
1669,530,7.524206
1670,530,3.543536
1706,530,12.89812
1718,530,7.082663
1719,530,2.889515
1720,530,0.575902
1721,530,0.26155
1722,530,0.04346
1723,530,0.016261
1724,530,0.018182
1725,530,0.025078
1726,530,0.025078
1728,530,0.014085
1729,530,0.020796
1730,530,0.020796
1731,530,0.021547
1732,530,0.014085
1733,530,0.02882
1734,530,0.104146
1735,530,0.607168
1736,530,3.396427
1737,530,8.863482
1738,530,13.569542
1820,530,0.045276
1822,530,0.312693
1846,530,0.045276
1847,530,0.674572
1849,530,0.149715
1850,530,0.057574
1858,530,1.012363
1859,530,0.340633
1862,530,0.779012
1876,530,1.471385
1899,530,97.231552
1904,530,15.338733
2094,530,4.127087
2095,530,0.435398
2096,530,0.013793
2097,530,1.019817
2098,530,1.310515
1714,2125,25.590868
1715,2125,50.854305
1734,2125,25.590868
1826,2125,40.34375
1827,2125,54.474548
1828,2125,14.055512
1841,2125,47.543224
1842,2125,5.267226
1843,2125,27.312675
1844,2125,27.731627
1846,2125,30.421852
1865,2125,27.766684
1935,2125,5.650007
1936,2125,5.650007
1937,2125,6.902898
1938,2125,2.506788
1939,2125,0.352941
1953,2125,1.605755
1954,2125,0.434828
1955,2125,0.341581
1970,2125,0.342697
1979,2125,23.138138
1980,2125,4.104143
2003,2125,8.0483
2068,2125,122.369888
2207,2125,67.135658
2208,2125,36.964745
2218,2125,1.399572
2264,2125,2.858397
2265,2125,1.214756
2266,2125,0.881551
2267,2125,0.784126
2272,2125,1.128098
2297,2125,8.298887
2298,2125,1.991667
2299,2125,1.285714
2300,2125,15.47852
2301,2125,11.356856
2302,2125,15.452216
2343,2125,6.224802
2347,2125,6.708186
2350,2125,0.151515
2351,2125,5.446375
2352,2125,5.159708
2354,2125,5.134017
2355,2125,3.828052
2471,2125,79.773743
2480,2125,67.776367
1,1806,79.480179
143,1806,15.451482
144,1806,12.335479
145,1806,6.770289
146,1806,0.41094
147,1806,0.333333
148,1806,0.333333
149,1806,0.476191
150,1806,0.476191
151,1806,0.476191
152,1806,0.666667
153,1806,0.333333
154,1806,0.333333
157,1806,0.142857
158,1806,0.142857
161,1806,0.142857
162,1806,0.142857
174,1806,0.951923
175,1806,26.415298
176,1806,47.689842
177,1806,64.718369
178,1806,209.417023
277,1806,850.409668
278,1806,8.859501
289,1806,3.060869
290,1806,2.991426
291,1806,2.873579
292,1806,10.873254
1230,2444,105.080017
1231,2444,91.332764
1335,2444,73.727341
1336,2444,73.727341
1337,2444,138.911148
1338,2444,73.727341
108,849,0.190963
109,849,0.154723
110,849,1.153516
122,849,693.743042
174,849,0.033832
175,849,0.087093
176,849,1.381347
177,849,0.031984
178,849,0.027059
179,849,0.054888
180,849,0.350768
181,849,0.248313
182,849,0.224513
183,849,0.142854
184,849,0.676246
201,849,0.723142
202,849,0.799267
203,849,0.628152
204,849,0.979182
205,849,1.810788
206,849,1.439965
207,849,0.358401
208,849,0.91357
209,849,0.973154
210,849,2.720958
211,849,8.951428
216,849,13.942012
217,849,18.122356
218,849,31.114717
219,849,19.708801
220,849,14.030917
221,849,17.384537
222,849,21.229223
223,849,29.799353
224,849,14.302975
225,849,12.312234
226,849,10.138038
227,849,30.036263
237,849,47.938087
238,849,28.78517
239,849,28.956253
240,849,1.315061
241,849,0.88448
242,849,0.558062
243,849,1.11192
244,849,8.545169
245,849,0.266769
246,849,1.355
247,849,0.179904
248,849,0.036899
249,849,0.27754
252,849,0.205052
253,849,0.023437
254,849,0.019378
255,849,0.019378
256,849,0.198986
257,849,0.197256
258,849,0.131159
259,849,0.199445
260,849,0.196405
261,849,0.207681
262,849,0.020921
264,849,0.26902
265,849,0.264257
266,849,0.306586
267,849,0.494267
268,849,1.118962
269,849,0.633808
270,849,0.633808
271,849,0.633808
272,849,2.150922
273,849,1.583095
274,849,0.947087
275,849,0.427618
276,849,0.296039
277,849,1.717646
318,849,82.677368
320,849,106.620094
332,849,2.226614
1777,2444,0.061453
1782,2444,2.095668
1783,2444,1.173533
1792,2444,2.058125
1794,2444,2.58224
1795,2444,0.994999
1796,2444,0.831595
1837,2444,21.332226
1838,2444,8.674415
1839,2444,9.614587
1840,2444,8.392004
571,849,31.070099
572,849,95.789284
1846,2444,0.657445
1847,2444,0.212338
1848,2444,0.026666
1849,2444,6.344871
1850,2444,18.906036
1853,2444,1.989059
585,849,65.399063
586,849,525.777344
1855,2444,0.187773
1856,2444,0.097788
1857,2444,0.089912
1858,2444,0.447782
1863,2444,0.35446
1865,2444,0.097484
1866,2444,4.98532
1867,2444,0.131579
1869,2444,0.310474
1870,2444,0.065574
1871,2444,0.278571
1872,2444,0.193532
1885,2444,17.273296
1886,2444,6.95204
1887,2444,6.533497
1888,2444,1.707879
1889,2444,20.600189
1890,2444,17.358301
1928,2444,14.596163
2016,2444,0.132976
2017,2444,0.097718
2022,2444,0.042582
2023,2444,0.037444
2024,2444,0.04479
2025,2444,0.061653
2027,2444,0.270213
2029,2444,0.107626
2030,2444,0.134144
2031,2444,0.240777
2035,2444,5.84883
2036,2444,0.376428
2037,2444,0.809442
2038,2444,2.196844
2061,2444,1.493742
2063,2444,7.021662
2074,2444,0.113317
2075,2444,0.085899
2076,2444,0.447066
2077,2444,3.25
2078,2444,0.020495
869,849,7.933386
880,849,2.705793
881,849,20.201616
2094,2444,1.074057
2121,2444,2.522292
2165,2444,11.014853
2188,2444,0.631744
2191,2444,0.104662
2192,2444,0.148607
1019,849,5.027191
2199,2444,0.453897
2200,2444,0.054688
2201,2444,0.058254
2202,2444,0.014867
2203,2444,0.874344
2204,2444,3.350297
2205,2444,0.159725
2206,2444,0.136007
2207,2444,0.02674
2208,2444,0.016879
2209,2444,0.112467
2212,2444,0.411582
2213,2444,0.204643
2214,2444,0.071246
2215,2444,0.055782
2219,2444,1.873911
2220,2444,0.298267
2224,2444,0.000192
2225,2444,0.000204
2227,2444,0.000206
2228,2444,0.041746
2230,2444,0.019095
2231,2444,0.007041
2232,2444,0.004926
2233,2444,0.210383
2238,2444,2.138665
2239,2444,2.443213
2240,2444,4.370914
2285,2444,25.773964
1616,849,269.694824
1623,849,164.589172
1710,849,0.267857
1711,849,2.592295
1812,849,216.948349
1844,849,0.097561
1845,849,5.920606
1849,849,26.742586
1855,849,12.47681
1963,849,274.137756
118,211,248.46846
119,211,162.983353
120,211,226.742401
121,211,270.42453
136,211,25.670507
137,211,63.921864
154,211,9.693021
155,211,17.055361
496,211,7.422273
497,211,7.243719
510,211,1.392702
511,211,0.309419
512,211,2.244131
513,211,1.482814
514,211,1.479819
515,211,11.18889
516,211,0.657262
517,211,0.395403
518,211,0.254065
519,211,0.368852
520,211,0.338707
521,211,0.441895
522,211,0.229381
523,211,0.942586
524,211,2.415493
525,211,2.648981
2469,849,3.256673
2470,849,6.486293
2471,849,1.33487
2472,849,4.764527
975,211,41.836296
976,211,26.15065
1865,1806,3.354836
1877,1806,7.821917
1038,211,24.337837
1071,211,18.666773
1072,211,5.591256
1895,1806,8.92308
1896,1806,2.432976
1897,1806,0.631579
1898,1806,23.787449
1899,1806,74.762039
1073,211,71.946159
1903,1806,200.907928
1904,1806,742.631226
1905,1806,1918.423828
1311,211,18.538221
1312,211,3.737972
1313,211,4.726023
1314,211,4.47291
1315,211,1.406342
1316,211,2.422324
1317,211,7.156058
1318,211,13.966919
1321,211,0.907357
1323,211,3.677683
1324,211,16.99
1392,211,107.541809
1608,211,76.830521
1609,211,99.780594
1612,211,13.064013
1613,211,24.030107
1856,211,0.187371
1857,211,0.698835
1858,211,0.329582
1874,211,0.183081
1876,211,1.061796
1877,211,0.127263
1878,211,1.449048
1880,211,0.195621
1881,211,2.606455
1893,211,1.517333
1896,211,2.911494
1897,211,32.600201
1900,211,2.01516
1901,211,1.715778
1902,211,5.158
1903,211,0.325626
1905,211,8.606442
1909,211,26.989124
1910,211,34.04945
1970,211,6.434554
1971,211,3.845204
1972,211,2.994996
1978,211,0.695581
1981,211,2.430071
1982,211,2.966118
1983,211,2.046414
1984,211,3.611016
1985,211,3.485431
1986,211,3.191382
309,1488,0.079755
310,1488,0.05283
2066,211,0.516697
2109,211,0.003125
2110,211,0.215898
2138,211,4.946972
2139,211,8.217546
2140,211,7.112173
2141,211,7.120682
2142,211,8.895026
2143,211,9.267523
2144,211,5.802766
2145,211,3.644965
2146,211,2.396558
2187,211,27.612494
2188,211,46.783611
2189,211,33.470257
2190,211,53.209663
531,1488,157.344986
2231,211,1.517385
2239,211,4.559133
532,1488,38.608242
533,1488,10.222226
2240,211,1.482044
2241,211,1.106476
2242,211,2.451122
1446,1488,10.788729
1462,1488,25.768593
1468,1488,14.093
1477,1488,11.755713
1479,1488,14.407377
590,531,23.991764
591,531,28.752464
1483,1488,43.168167
1521,1488,218.087814
1522,1488,148.098663
1547,1488,19.588512
1563,1488,2.85655
1572,1488,2.073169
1573,1488,3.715043
1587,1488,22.021633
1590,1488,79.163795
1608,1488,77.188354
1612,1488,36.289452
1617,1488,483.087036
1619,1488,33.725876
1627,1488,5.935479
1628,1488,11.046716
1630,1488,3.604328
1635,1488,3.494102
1636,1488,8.391595
1637,1488,7.332161
1638,1488,8.894979
1639,1488,10.254637
1640,1488,8.399997
1641,1488,5.935479
1642,1488,7.255817
1645,1488,16.338877
1707,1488,118.407402
1951,1488,4.173044
1959,1488,4.073172
1961,1488,4.836857
1965,1488,11.523105
1966,1488,3.87281
1967,1488,4.281767
1975,1488,12.998875
1976,1488,2.341183
1979,1488,4.350456
1980,1488,3.934207
1982,1488,30.475668
1986,1488,43.028965
1997,1488,1.793385
1998,1488,54.507732
1999,1488,21.134747
2000,1488,7.718614
2002,1488,22.916323
2003,1488,5.662953
2005,1488,1.762364
2006,1488,1.620994
2007,1488,0.065574
2011,1488,3.085766
2012,1488,1.48166
2013,1488,17.850517
2063,1488,2.752269
2064,1488,2.776532
2065,1488,2.602069
2066,1488,2.008573
2067,1488,2.166327
2068,1488,2.166851
2069,1488,2.314643
2070,1488,2.248509
2071,1488,1.376581
2072,1488,1.019376
2073,1488,0.862404
2074,1488,0.872961
2075,1488,0.916644
2076,1488,0.540141
2077,1488,0.608889
2078,1488,0.24058
2079,1488,0.24058
2080,1488,0.164557
2081,1488,0.302353
2082,1488,0.12844
2083,1488,0.22844
2084,1488,0.954167
2085,1488,1.361743
2086,1488,1.16708
2310,1488,1.147472
2311,1488,0.392795
2312,1488,1.553183
2313,1488,1.84142
2314,1488,1.360734
2315,1488,1.970012
2316,1488,8.57694
2317,1488,19.828333
2318,1488,15.111648
2319,1488,15.295775
2320,1488,3.592707
344,1489,28.070208
345,1489,29.198364
531,1489,48.153786
532,1489,9
1445,1489,32.766235
1446,1489,12.386605
1451,1489,53.908905
1454,1489,74.571014
1481,1489,4.044299
1484,1489,20.975367
1485,1489,9.834668
1520,1489,260.523621
1521,1489,458.560883
1522,1489,9.230785
1547,1489,11.65392
1569,1489,1.261791
1581,1489,34.312195
1591,1489,857.853394
1608,1489,52.875107
1618,1489,3.494102
1619,1489,17.319153
1620,1489,3.494102
1626,1489,3.604328
1629,1489,8.894979
1630,1489,8.973879
1632,1489,3.604328
1638,1489,7.332161
1639,1489,11.995924
1640,1489,12.437106
1641,1489,12.547333
1646,1489,20.892412
1647,1489,18.998728
1966,1489,1.53125
1968,1489,3.934207
1969,1489,16.938026
1971,1489,5.693685
1983,1489,11.23866
1984,1489,1.589287
1985,1489,1.589287
1986,1489,5.872312
1997,1489,2.341183
1999,1489,1.53125
2000,1489,5.26198
2001,1489,4.453189
2004,1489,8.764167
2007,1489,0.189147
2013,1489,21.263046
2054,1489,2.832264
2068,1489,2.025385
2069,1489,2.29996
2070,1489,2.136036
2071,1489,1.195235
2072,1489,1.415964
2073,1489,1.651557
2074,1489,1.376684
2075,1489,1.889906
2076,1489,1.107884
2077,1489,0.852285
2078,1489,0.835391
2079,1489,0.534439
2082,1489,0.1
2083,1489,0.20155
2084,1489,0.782224
2235,1489,790.471375
2236,1489,114.777969
2310,1489,2.982986
2316,1489,3.272692
2317,1489,2.697635
2318,1489,2.069931
2319,1489,1.487406
2320,1489,50.984344
1716,2126,32.628273
1826,2126,108.002831
1841,2126,33.82621
1842,2126,52.640617
1843,2126,1.795453
1952,2126,0.899182
1953,2126,1.172163
1954,2126,0.702381
1955,2126,0.388655
1969,2126,0.323944
1979,2126,11.094162
1980,2126,1.582748
2003,2126,10.386131
2068,2126,11.284225
2208,2126,277.476563
2218,2126,1.905364
2264,2126,3.434076
2265,2126,3.521424
2266,2126,0.815873
2272,2126,0.696309
2273,2126,1.002976
2296,2126,0.330128
2298,2126,0.422222
2299,2126,0.056604
2300,2126,6.577766
2301,2126,4.409091
2302,2126,5.28656
2303,2126,19.196114
2350,2126,0.385714
2354,2126,5.08646
2355,2126,4.57619
2467,2126,281.107605
465,2127,338.516235
1844,2127,7.997064
1947,2127,2.064645
1948,2127,8.834211
1949,2127,24.788521
1950,2127,10.321354
1951,2127,10.058373
1952,2127,1.780382
1953,2127,0.244203
1955,2127,0.214206
1956,2127,7.123804
1957,2127,6.54083
1958,2127,12.125052
1959,2127,26.914268
1978,2127,23.207186
1979,2127,5.883542
2003,2127,9.750001
2068,2127,158.077957
2069,2127,32.620296
2218,2127,1.852245
2264,2127,3.474816
2265,2127,4.377692
2266,2127,1.045823
2267,2127,0.861327
2268,2127,0.441631
2269,2127,1.295601
2271,2127,1.147591
2272,2127,1.108833
2297,2127,2.071045
2298,2127,0.444444
2299,2127,0.056604
2300,2127,7.395999
2301,2127,3.559469
2302,2127,1.482839
2303,2127,4.683792
2350,2127,0.151515
2355,2127,3.828052
