光伏用户编号,综合倍率,时间,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96
f1,80,2022-1-13 0:00,0,0,0,-0.0001,0,-0.0001,-0.0001,-0.0001,0,-0.0001,-0.0001,0,0,0,0,0,0,0,0,-0.0001,0,-0.0001,-0.0001,0,0,-0.0001,-0.0032,0,0.0277,0.0798,0.0747,0.1065,0.3091,0.3718,0.2878,0.4882,0.986,0.8678,0.9212,1.015,1.1078,1.3075,0.9574,1.0516,1.2161,1.2681,0.5471,0.6096,0.6726,0.721,1.0888,0.6862,0.6925,0.5698,0.4266,1.1504,1.1427,0.938,0.8727,0.3252,0.5408,0.4457,0.4035,0.2407,0.2064,0.1711,0.0511,0.0363,0.0065,-0.0044,-0.0033,-0.0031,-0.0032,-0.0031,-0.0032,-0.0032,-0.0033,-0.0031,-0.0031,-0.0031,-0.0032,-0.0031,-0.0033,-0.0032,-0.0032,-0.0033,-0.0032,-0.0033,-0.0032,-0.0033,-0.0017,-0.0016,-0.0017,-0.0019,-0.0015,-0.0017
f1,80,2022-1-14 0:00,0,0,-0.0001,0,-0.0001,-0.0001,-0.0001,0,0,0,0,-0.0001,0,0,-0.0001,0,-0.0001,0,-0.0003,0,0,0,0,-0.0001,-0.0001,0,0,-0.0001,-0.0042,-0.0028,0.0041,0.0048,0.0073,0.0151,0.0388,0.0305,0.0427,0.0646,0.0862,0.0727,0.0346,0.0667,0.2214,0.3542,0.303,0.553,0.4194,0.4597,0.3107,0.426,0.4355,0.8818,0.6843,0.5145,0.5,0.6055,0.8333,0.8071,0.5992,0.4565,0.447,0.252,0.2831,0.2738,0.0719,0.0508,0.0435,0.0188,0.0015,-0.0045,-0.0038,-0.0032,-0.0032,-0.0032,-0.0031,-0.0031,-0.0032,-0.0029,-0.0033,-0.0016,-0.0016,-0.0017,-0.0017,-0.0015,-0.0016,-0.0017,-0.0016,-0.0017,-0.0017,-0.0016,0,0,0,-0.0001,0,-0.0001
f1,80,2022-1-15 0:00,0,0,-0.0001,0,-0.0001,0,0,0,0,0,0,-0.0001,0,0,0,0,-0.0001,0,0,0,0,0,-0.0001,-0.0001,-0.0003,0,-0.0015,0.0004,0.0394,0.0478,0.0701,0.1045,0.3121,0.2674,0.4491,0.3202,0.5245,0.9285,0.74,0.5874,1.1019,1.202,1.01,1.2364,1.303,0.962,1.0843,0.7641,0.8587,1.0829,0.8768,1.3492,1.0997,1.1332,1.1499,1.0073,0.9873,0.5195,0.8125,0.707,0.5996,0.5068,0.3888,0.2951,0.1367,0.0771,0.0519,0.0284,0.0045,-0.004,-0.0033,-0.0031,-0.0031,-0.0031,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0032,-0.0031,-0.0032,-0.0031,-0.0032,-0.0031,-0.0031,-0.0032,-0.0001,-0.0003,-0.0001,-0.0001,-0.0001,-0.0001
f1,80,2022-1-16 0:00,-0.0001,0,-0.0001,-0.0003,0,-0.0001,0,0,-0.0001,0,0,-0.0001,0,0,-0.0001,0,-0.0001,-0.0001,-0.0001,0,0,-0.0001,-0.0001,0,0,0,0,0,-0.0045,0,,0,0,,0,0,,,0,,,0,0,,0,0,0.26,0.3524,0.1677,0.1721,0.2277,0.1244,0.0422,0.0494,0.0714,0.0609,0.0834,0.1724,0.06,0.0609,0.0471,0.0332,0.0216,0.0025,0.0196,0.0058,-0.0005,-0.0038,-0.0045,-0.0038,-0.0032,-0.0033,-0.0032,-0.0033,-0.0032,-0.0032,-0.0031,-0.0032,-0.0033,-0.0031,-0.0031,-0.0029,-0.0033,-0.0032,-0.0032,-0.0032,-0.0033,-0.0033,-0.0033,-0.0032,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016
f1,80,2022-1-17 0:00,0,0,0,0,0,-0.0001,0,-0.0003,-0.0001,-0.0001,0,0,0,0,0,-0.0001,-0.0001,0,-0.0001,-0.0001,0,0,0,0,0,0,-0.0003,-0.0029,-0.0034,0,0.0058,0.0169,0.0356,0.0194,0.0096,0.0163,0.0261,0.0571,0.0638,0.0525,0.0433,0.0761,0.1311,0.1476,0.2125,0.2269,0.1553,0.1898,0.2118,0.1914,0.149,0.1433,0.1429,0.1268,0.1149,0.1048,0.0844,0.0761,0.0769,0.0677,0.0573,0.0459,0.0488,0.0374,0.0252,0.0147,0.0017,-0.0034,-0.0046,-0.0036,-0.0032,-0.0033,-0.0033,-0.0031,-0.0032,-0.0032,-0.0032,-0.0033,-0.0031,-0.0033,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0033,-0.0016,-0.0016,-0.0019,-0.0019,-0.0017,-0.0015,-0.0017,-0.0017,-0.0017,-0.0017
f1,80,2022-1-18 0:00,-0.0001,0,0,-0.0001,0,0,-0.0001,0,-0.0003,0,-0.0003,0,0,-0.0001,0,-0.0001,-0.0001,-0.0003,0,0,0,0,0,-0.0001,0,0,0,-0.0042,-0.004,-0.0023,0.0019,0,0.0119,0.0465,0.0422,0.0842,0.0986,0.0919,0.0849,0.0664,0.0846,0.1388,0.0862,0.0906,0.1133,0.1256,0.1396,0.1591,0.1142,0.0908,0.1668,0.2826,0.2305,0.2295,0.1781,0.2362,0.2008,0.1621,0.1443,0.1385,0.1389,0.1377,0.1259,0.1002,0.0729,0.0506,0.0334,0.0121,-0.0004,-0.0048,-0.0037,-0.0032,-0.0031,-0.0032,-0.0033,-0.0031,-0.0032,-0.0032,-0.0031,-0.0031,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0033,-0.0033,-0.0031,-0.0032,-0.0032,-0.0016,-0.0015,-0.0016,-0.0017,-0.0015,-0.0016
f1,80,2022-1-19 0:00,-0.0001,-0.0001,0,0,-0.0001,0,-0.0001,-0.0001,0,-0.0001,0,0,0,0,-0.0001,-0.0001,0,0,-0.0003,0,-0.0001,0,-0.0001,0,0,-0.0001,-0.0001,-0.004,0.0044,0.0337,0.0879,0.1873,0.5068,0.7346,0.6717,0.3064,0.4742,0.6585,0.9004,0.4588,0.6748,0.5883,1.5009,1.3098,1.5109,1.3288,1.2881,1.2758,0.8506,1.4443,1.0227,1.5154,1.0535,1.2604,0.8275,0.6721,0.606,0.5263,1.0498,0.4991,0.5544,0.4527,0.4257,0.4271,0.1421,0.1305,0.1132,0.0365,0.0074,-0.0015,-0.0046,-0.0032,-0.0029,-0.0033,-0.0031,-0.0032,-0.0031,-0.0029,-0.0031,-0.0032,-0.0029,-0.0031,-0.0031,-0.0029,-0.0031,-0.0029,-0.0032,-0.0032,-0.0031,-0.0031,-0.0001,0,-0.0001,0,0,-0.0003
f1,80,2022-1-20 0:00,0,0,0,0,0,0,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0,0,-0.0001,-0.0001,0,0,0,-0.0001,0,0,0,0,0,0,0,0,-0.0044,0,0.0076,0.0101,0.0328,0.0399,0.0982,0.0871,0.1422,0.1992,0.1788,0.1831,0.1577,0.1465,0.1223,0.1544,0.1621,0.1464,0.1535,0.1343,0.1287,0.1379,0.1549,0.1551,0.1499,0.1446,0.1437,0.1523,0.15,0.139,0.1398,0.1433,0.1258,0.1006,0.0795,0.0637,0.0293,0.0293,0.0206,0.0023,0,-0.0044,-0.0038,-0.0032,-0.0032,-0.0031,-0.0031,-0.0029,-0.0032,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0029,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0033,-0.0033,-0.0017,-0.0016,-0.0017,-0.0017,-0.0016,-0.0016
f1,80,2022-1-21 0:00,0,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0,0,-0.0003,-0.0001,-0.0001,0,0,0,-0.0003,-0.0001,-0.0001,0,0,0,0,0,0,-0.0003,-0.0001,-0.0003,0,-0.0036,-0.0033,-0.0004,0.0115,0.0115,0.0253,0.0127,0.0162,0.0271,0.0316,0.0691,0.0718,0.0735,0.037,0.0722,0.1264,0.0904,0.1904,0.2577,0.1898,0.1634,0.1492,0.1877,0.2434,0.2462,0.1538,0.2582,0.2249,0.197,0.1232,0.166,0.1618,0.1364,0.1273,0.1585,0.0998,0.0752,0.0568,0.0357,0.0309,0.0068,0.0069,-0.0045,-0.0033,-0.0033,-0.0032,-0.0032,-0.0032,-0.0032,-0.0033,-0.0032,-0.0031,-0.0031,-0.0032,-0.0031,-0.0031,-0.0032,-0.0032,-0.0032,-0.0032,-0.0031,-0.0032,-0.0031,-0.0016,-0.0016,-0.0016,-0.0001,0,0
f1,80,2022-1-22 0:00,0,0,-0.0001,0,0,-0.0003,-0.0001,0,0,-0.0003,-0.0001,-0.0003,0,0,0,0,-0.0001,0,-0.0001,0,-0.0001,0,0,-0.0001,-0.0001,-0.0003,0,-0.0001,0,0,0.0263,0.0328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f1,80,2022-1-23 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036,0.0101,0.0276,0.0705,0.1054,0.1738,0.2706,0.288,0.3818,0.4024,0.4294,0.3324,0.4054,0.3881,0.3755,0.6535,0.6857,0.7822,0.8872,0.7477,0.6689,0.6323,0.9565,0.9294,0.9094,0.7545,0.7369,0.7813,0.6295,0.4044,0.4968,0.2249,0.2228,0.1707,0.1302,0.1236,0.0978,0.0869,0.2441,0.1644,0.0438,0.0425,0,-0.0042,-0.0032,-0.0032,-0.0032,-0.0033,-0.0017,-0.0016,-0.0017,-0.0016,-0.0016,-0.0017,-0.0017,-0.0017,-0.0016,-0.0017,-0.0016,-0.0017,-0.0017,-0.0016,-0.0017,-0.0017,-0.0016,-0.0017,-0.0017,-0.0016,-0.0016
f1,80,2022-1-24 0:00,0,-0.0001,0,-0.0001,0,-0.0001,0,0,-0.0001,0,0,0,-0.0001,0,0,0,0,0,-0.0001,0,0,-0.0003,-0.0001,0,-0.0001,-0.0003,0,-0.004,-0.0021,-0.0025,-0.0009,0.0414,0.0523,0.0896,0.0694,0.0581,0.0856,0.0563,0.0409,0.0784,0.1936,0.143,0.4205,0.3365,0.2935,0.1822,0.1817,0.1673,0.1077,0.0999,0.1611,0.1507,0.0931,0.1265,0.0871,0.1165,0.063,0.0769,0.1292,0.0772,0.0864,0.041,0.0549,0.0406,0.02,0.0105,0.0062,-0.0015,-0.004,-0.0045,-0.0032,-0.0032,-0.0033,-0.0034,-0.0032,-0.0032,-0.0033,-0.0032,-0.0032,-0.0033,-0.0032,-0.0032,-0.0033,-0.0032,-0.0032,-0.0031,-0.0033,-0.0032,-0.0032,-0.0032,-0.0016,-0.0016,-0.0015,-0.0016,-0.0016,-0.0017
f1,80,2022-1-25 0:00,0,0,-0.0001,0,-0.0001,0,-0.0001,0,0,0,0,0,0,-0.0001,0,0,-0.0001,0,0,0,-0.0001,0,-0.0001,-0.0001,0,0,-0.0001,-0.0037,-0.0024,0.0072,0.0326,0.0761,0.0711,0.1004,0.1403,0.135,0.1183,0.1908,0.1715,0.1638,0.2185,0.233,0.1978,0.2652,0.279,0.2708,0.2518,0.3438,0.3804,0.4083,0.3789,0.3739,0.3995,0.3938,0.315,0.3098,0.341,0.3904,0.2706,0.1782,0.2246,0.214,0.1653,0.1396,0.0901,0.0549,0.0338,0.0115,0.0013,-0.0042,-0.0036,-0.0031,-0.0032,-0.0031,-0.0031,-0.0032,-0.0031,-0.0031,-0.0032,-0.0032,-0.0032,-0.0032,-0.0031,-0.0031,-0.0032,-0.0031,-0.0032,-0.0032,-0.0032,-0.0032,0,-0.0004,-0.0001,0,-0.0001,-0.0003
f1,80,2022-1-26 0:00,0,0,-0.0001,0,-0.0001,-0.0001,0,0,-0.0001,0,-0.0001,0,-0.0003,-0.0003,0,-0.0003,-0.0003,0,0,0,0,0,0,0,0,0,0,-0.004,-0.0033,0,0.0142,0.0299,0.0577,0.0737,0.0968,0.1827,0.2962,0.3601,0.3481,0.3207,0.2357,0.296,0.334,0.3902,0.3671,0.3424,0.351,0.2919,0.3795,0.4174,0.563,0.2994,0.3161,0.3641,0.2774,0.2994,0.4348,0.2591,0.2967,0.3601,0.2808,0.186,0.1843,0.2314,0.129,0.119,0.0263,0.0377,0.0131,-0.0031,-0.0041,-0.0033,-0.0032,-0.0032,-0.0032,-0.0032,-0.0031,-0.0031,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0031,-0.0032,-0.0032,-0.0032,-0.0031,-0.0017,-0.0016,-0.0001,0,0,0,-0.0001,-0.0001
f1,80,2022-1-27 0:00,0,0,-0.0001,-0.0001,0,0,-0.0001,0,0,0,0,0,0,0,-0.0001,0,-0.0001,-0.0001,0,-0.0001,-0.0003,0,-0.0001,-0.0001,0,0,0,-0.0033,0.0032,0.0263,0.0498,0.0946,0.1482,0.1868,0.1741,0.2819,0.3678,0.3881,0.3256,0.4117,0.4769,0.4427,0.5231,0.5471,0.6341,0.7536,0.8225,0.6839,0.933,0.7822,0.8102,0.8392,0.5901,0.6649,0.6055,0.5743,0.5521,0.5154,0.4706,0.4001,0.2627,0.3333,0.2822,0.2186,0.1953,0.1056,0.0543,0.0478,0.0142,-0.0023,-0.0033,-0.0032,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0034,-0.0031,-0.0032,-0.0032,-0.0033,-0.0031,-0.0015,-0.0017,-0.0016,-0.0016,-0.0017,-0.0016
f1,80,2022-1-28 0:00,0,-0.0001,0,0,0,-0.0001,0,0,0,0,-0.0003,0,-0.0001,0,0,-0.0003,-0.0001,0,-0.0001,0,-0.0001,-0.0003,-0.0001,-0.0001,-0.0001,-0.0001,0,-0.0037,0,0.0211,0.0328,0.0407,0.0389,0.0317,0.0475,0.0525,0.0584,0.0798,0.0819,0.0983,0.1268,0.1585,0.1692,0.1827,0.2318,0.2373,0.1745,0.1987,0.1248,0.0861,0.0888,0.1076,0.1148,0.0977,0.0958,0.1108,0.099,0.1445,0.1304,0.1652,0.0956,0.064,0.0539,0.0231,0.0476,0.017,,0.0037,0.0007,-0.0036,-0.0036,-0.0032,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0031,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0033,-0.0032,-0.0033,-0.0032,-0.0032,-0.0033,-0.0033,-0.0017,-0.0016,-0.0016,-0.0016,-0.0001,-0.0001
f1,80,2022-1-29 0:00,-0.0001,0,0,-0.0003,0,0,0,0,0,0,-0.0001,-0.0001,0,0,0,-0.0001,0,0,0,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0,-0.0001,0,0,-0.0036,0.0004,0.0029,0.0186,0.0557,0.0482,0.0494,0.0637,0.0709,0.1003,0.073,0.1043,0.123,0.1533,0.149,0.1389,0.1054,0.1381,0.1299,0.1789,0.3125,0.317,0.2545,0.2295,0.1484,0.1182,0.1198,0.1229,0.1026,0.1047,0.0645,0.0622,0.05,0.0596,0.0568,0.0565,0.0272,0.0317,0.0175,0.004,-0.0023,-0.0044,-0.0037,-0.0031,-0.0032,-0.0032,-0.0032,-0.0034,-0.0032,-0.0031,-0.0032,-0.0032,-0.0032,-0.0032,-0.0033,-0.0031,-0.0032,-0.0029,-0.0033,-0.0033,-0.0016,-0.0017,-0.0015,-0.0016,-0.0001,-0.0001,0,-0.0001
f1,80,2022-1-30 0:00,0,0,-0.0001,0,0,-0.0003,0,0,0,-0.0001,-0.0001,-0.0004,0,0,-0.0003,0,-0.0001,-0.0003,-0.0001,-0.0004,0,-0.0001,-0.0001,0,-0.0001,-0.0001,0,-0.0027,-0.0036,0.0122,0.0284,0.0191,0.0243,0.0567,0.0979,0.1745,0.2498,0.2606,0.3177,0.5856,1.1857,0.4391,0.8229,0.7971,0.9846,1.7527,1.1064,0.8542,0.822,1.039,1.5376,2.2917,2.2709,1.5716,2.2165,1.7681,1.51,1.4344,1.5698,1.3723,1.0788,0.9085,0.7142,0.6567,0.3286,0.2058,0.1084,0.0491,0.0137,0,-0.0046,-0.0031,-0.0032,-0.0032,-0.0032,-0.0031,-0.0031,-0.0032,-0.0032,-0.0032,-0.0032,-0.0031,-0.0032,-0.0031,-0.0031,-0.0031,-0.0033,-0.0032,-0.0033,-0.0032,-0.0019,-0.0019,-0.0016,0,0,0
f1,80,2022-1-31 0:00,-0.0001,-0.0003,-0.0001,0,0,0,0,0,-0.0001,-0.0001,-0.0004,0,0,0,-0.0003,0,0,0,0,0,0,0,-0.0001,0,0,-0.0001,-0.0023,0.0127,0.0539,0.0889,0.1052,0.1591,0.4509,0.2459,0.5784,0.2616,0.1646,0.3555,0.1713,0.462,0.5177,0.4017,0.2799,0.2428,0.3558,0.303,0.3546,0.4783,0.4427,0.3866,0.334,0.736,0.5956,0.5584,0.942,0.3949,0.3832,0.3297,0.272,0.1943,0.2457,0.2896,0.2604,0.1518,0.1799,0.0865,0.0494,0.0111,0.0023,-0.0031,-0.0038,-0.0031,-0.0032,-0.0029,-0.0032,-0.0032,-0.0032,-0.0031,-0.0031,-0.0031,-0.0032,-0.0033,-0.0033,-0.0029,-0.0032,-0.0031,-0.0031,-0.0033,-0.0016,-0.0016,-0.0017,-0.0019,-0.0016,-0.0016,-0.0017,-0.0017
