date,credit_mon_val,credit_mon_YoY,credit_mon_MoM,credit_acc_val,credit_acc_YoY
2020-07,10221.0,0.264,-0.4629,133507.0,0.2327
2020-08,14201.0,0.0886,0.3894,147708.0,0.2172
2020-09,19171.0,0.0885,0.35,166879.0,0.2009
2020-10,6663.0,0.2182,-0.6524,173542.0,0.2015
2020-11,15309.0,0.1229,1.298,188851.0,0.1948
2020-12,11458.0,0.0639,-0.2516,200309.0,0.1864
2021-01,38182.0,0.0933,2.332,38182.0,0.0933
2021-02,13413.0,0.8624,-0.6487,51595.0,0.2248
2021-03,27511.0,-0.0947,1.051,79106.0,0.0909
2021-04,12840.0,-0.2093,-0.5333,91946.0,0.036
2021-05,14294.0,-0.0779,0.1132,106240.0,0.019
2021-06,23182.0,0.2182,0.6218,129422.0,0.0498
2021-07,8391.0,-0.179,-0.638,137813.0,0.0323
