站点编号,时间,出力(MW)
f1,2023-5-4 10:45,3.337
f1,2023-5-4 11:00,4.3135
f1,2023-5-4 11:15,5.226
f1,2023-5-4 11:30,4.612
f1,2023-5-4 11:45,5.0306
f1,2023-5-4 12:00,4.23
f1,2023-5-4 12:15,3.337
f1,2023-5-4 12:30,4.3135
f1,2023-5-4 12:45,5.226
f1,2023-5-4 13:00,4.612
f1,2023-5-4 13:15,5.0306
f1,2023-5-4 13:30,4.23
f1,2023-5-4 13:45,3.337
f1,2023-5-4 14:00,4.3135
f1,2023-5-4 14:15,5.226
f1,2023-5-4 14:30,4.612
f1,2023-5-4 14:45,5.0306
f1,2023-5-4 15:00,4.23
f1,2023-5-4 15:15,3.337
f1,2023-5-4 15:30,4.3135
f1,2023-5-4 15:45,5.226
f1,2023-5-4 16:00,4.612
f1,2023-5-4 16:15,5.0306
f1,2023-5-4 16:30,4.23
f1,2023-5-4 16:45,3.337
f1,2023-5-4 17:00,4.3135
f1,2023-5-4 17:15,5.226
f1,2023-5-4 17:30,4.612
f1,2023-5-4 17:45,5.0306
f1,2023-5-4 18:00,4.23
f1,2023-5-4 18:15,3.337
f1,2023-5-4 18:30,4.3135
f1,2023-5-4 18:45,5.226
f1,2023-5-4 19:00,4.612
f1,2023-5-4 19:15,5.0306
f1,2023-5-4 19:30,4.23
f1,2023-5-4 19:45,3.337
f1,2023-5-4 20:00,4.3135
f1,2023-5-4 20:15,5.226
f1,2023-5-4 20:30,4.612
f1,2023-5-4 20:45,5.0306
f1,2023-5-4 21:00,4.23
f1,2023-5-4 21:15,3.337
f1,2023-5-4 21:30,4.3135
f1,2023-5-4 21:45,5.226
f1,2023-5-4 22:00,4.612
f1,2023-5-4 22:15,5.0306
f1,2023-5-4 22:30,4.23
f1,2023-5-4 22:45,3.337
f1,2023-5-4 23:00,4.3135
f1,2023-5-4 23:15,5.226
f1,2023-5-4 23:30,4.612
f1,2023-5-4 23:45,5.0306
f1,2023-5-5 0:00,4.23
f1,2023-5-5 0:15,3.337
f1,2023-5-5 0:30,4.3135
f1,2023-5-5 0:45,5.226
f1,2023-5-5 1:00,4.612
f1,2023-5-5 1:15,5.0306
f1,2023-5-5 1:30,4.23
f1,2023-5-5 1:45,3.337
f1,2023-5-5 2:00,4.3135
f1,2023-5-5 2:15,5.226
f1,2023-5-5 2:30,4.612
f1,2023-5-5 2:45,5.0306
f1,2023-5-5 3:00,4.23
f1,2023-5-5 3:15,3.337
f1,2023-5-5 3:30,4.3135
f1,2023-5-5 3:45,5.226
f1,2023-5-5 4:00,4.612
f1,2023-5-5 4:15,5.0306
f1,2023-5-5 4:30,4.23
f1,2023-5-5 4:45,3.337
f1,2023-5-5 5:00,4.3135
f1,2023-5-5 5:15,5.226
f1,2023-5-5 5:30,4.612
f1,2023-5-5 5:45,5.0306
f1,2023-5-5 6:00,4.23
f1,2023-5-5 6:15,3.337
f1,2023-5-5 6:30,4.3135
f1,2023-5-5 6:45,5.226
f1,2023-5-5 7:00,4.612
f1,2023-5-5 7:15,5.0306
f1,2023-5-5 7:30,4.23
f1,2023-5-5 7:45,3.337
f1,2023-5-5 8:00,4.3135
f1,2023-5-5 8:15,5.226
f1,2023-5-5 8:30,4.612
f1,2023-5-5 8:45,5.0306
f1,2023-5-5 9:00,4.23
f1,2023-5-5 9:15,3.337
f1,2023-5-5 9:30,4.3135
f1,2023-5-5 9:45,5.226
f1,2023-5-5 10:00,4.612
f1,2023-5-5 10:15,5.0306
f1,2023-5-5 10:30,4.23
f1,2023-5-5 10:45,3.337
f1,2023-5-5 11:00,4.3135
f1,2023-5-5 11:15,5.226
f1,2023-5-5 11:30,4.612
f1,2023-5-5 11:45,5.0306
f1,2023-5-5 12:00,4.23
f1,2023-5-5 12:15,3.337
f1,2023-5-5 12:30,4.3135
f1,2023-5-5 12:45,5.226
f1,2023-5-5 13:00,4.612
f1,2023-5-5 13:15,5.0306
f1,2023-5-5 13:30,4.23
f1,2023-5-5 13:45,3.337
f1,2023-5-5 14:00,4.3135
f1,2023-5-5 14:15,5.226
f1,2023-5-5 14:30,4.612
f1,2023-5-5 14:45,5.0306
f1,2023-5-5 15:00,4.23
f1,2023-5-5 15:15,3.337
f1,2023-5-5 15:30,4.3135
f1,2023-5-5 15:45,5.226
f1,2023-5-5 16:00,4.612
f1,2023-5-5 16:15,5.0306
f1,2023-5-5 16:30,4.23
f1,2023-5-5 16:45,3.337
f1,2023-5-5 17:00,4.3135
f1,2023-5-5 17:15,5.226
f1,2023-5-5 17:30,4.612
f1,2023-5-5 17:45,5.0306
f1,2023-5-5 18:00,4.23
f1,2023-5-5 18:15,3.337
f1,2023-5-5 18:30,4.3135
f1,2023-5-5 18:45,5.226
f1,2023-5-5 19:00,4.612
f1,2023-5-5 19:15,5.0306
f1,2023-5-5 19:30,4.23
f1,2023-5-5 19:45,3.337
f1,2023-5-5 20:00,4.3135
f1,2023-5-5 20:15,5.226
f1,2023-5-5 20:30,4.612
f1,2023-5-5 20:45,5.0306
f1,2023-5-5 21:00,4.23
f1,2023-5-5 21:15,3.337
f1,2023-5-5 21:30,4.3135
f1,2023-5-5 21:45,5.226
f1,2023-5-5 22:00,4.612
f1,2023-5-5 22:15,5.0306
f1,2023-5-5 22:30,4.23
f1,2023-5-5 22:45,3.337
f1,2023-5-5 23:00,4.3135
f1,2023-5-5 23:15,5.226
f1,2023-5-5 23:30,4.612
f1,2023-5-5 23:45,5.0306
f1,2023-5-6 0:00,4.23
f1,2023-5-6 0:15,3.337
f1,2023-5-6 0:30,4.3135
f1,2023-5-6 0:45,5.226
f1,2023-5-6 1:00,4.612
f1,2023-5-6 1:15,5.0306
f1,2023-5-6 1:30,4.23
f1,2023-5-6 1:45,3.337
f1,2023-5-6 2:00,4.3135
f1,2023-5-6 2:15,5.226
f1,2023-5-6 2:30,4.612
f1,2023-5-6 2:45,5.0306
f1,2023-5-6 3:00,4.23
f1,2023-5-6 3:15,3.337
f1,2023-5-6 3:30,4.3135
f1,2023-5-6 3:45,5.226
f1,2023-5-6 4:00,4.612
f1,2023-5-6 4:15,5.0306
f1,2023-5-6 4:30,4.23
f1,2023-5-6 4:45,3.337
f1,2023-5-6 5:00,4.3135
f1,2023-5-6 5:15,5.226
f1,2023-5-6 5:30,4.612
f1,2023-5-6 5:45,5.0306
f1,2023-5-6 6:00,4.23
f1,2023-5-6 6:15,3.337
f1,2023-5-6 6:30,4.3135
f1,2023-5-6 6:45,5.226
f1,2023-5-6 7:00,4.612
f1,2023-5-6 7:15,5.0306
f1,2023-5-6 7:30,4.23
f1,2023-5-6 7:45,3.337
f1,2023-5-6 8:00,4.3135
f1,2023-5-6 8:15,5.226
f1,2023-5-6 8:30,4.612
f1,2023-5-6 8:45,5.0306
f1,2023-5-6 9:00,4.23
f1,2023-5-6 9:15,3.337
f1,2023-5-6 9:30,4.3135
f1,2023-5-6 9:45,5.226
f1,2023-5-6 10:00,4.612
f1,2023-5-6 10:15,5.0306
f1,2023-5-6 10:30,4.23
f1,2023-5-6 10:45,3.337
f1,2023-5-6 11:00,4.3135
f1,2023-5-6 11:15,5.226
f1,2023-5-6 11:30,4.612
f1,2023-5-6 11:45,5.0306
f1,2023-5-6 12:00,4.23
f1,2023-5-6 12:15,3.337
f1,2023-5-6 12:30,4.3135
f1,2023-5-6 12:45,5.226
f1,2023-5-6 13:00,4.612
f1,2023-5-6 13:15,5.0306
f1,2023-5-6 13:30,4.23
f1,2023-5-6 13:45,3.337
f1,2023-5-6 14:00,4.3135
f1,2023-5-6 14:15,5.226
f1,2023-5-6 14:30,4.612
f1,2023-5-6 14:45,5.0306
f1,2023-5-6 15:00,4.23
f1,2023-5-6 15:15,3.337
f1,2023-5-6 15:30,4.3135
f1,2023-5-6 15:45,5.226
f1,2023-5-6 16:00,4.612
f1,2023-5-6 16:15,5.0306
f1,2023-5-6 16:30,4.23
f1,2023-5-6 16:45,3.337
f1,2023-5-6 17:00,4.3135
f1,2023-5-6 17:15,5.226
f1,2023-5-6 17:30,4.612
f1,2023-5-6 17:45,5.0306
f1,2023-5-6 18:00,4.23
f1,2023-5-6 18:15,3.337
f1,2023-5-6 18:30,4.3135
f1,2023-5-6 18:45,5.226
f1,2023-5-6 19:00,4.612
f1,2023-5-6 19:15,5.0306
f1,2023-5-6 19:30,4.23
f1,2023-5-6 19:45,3.337
f1,2023-5-6 20:00,4.3135
f1,2023-5-6 20:15,5.226
f1,2023-5-6 20:30,4.612
f1,2023-5-6 20:45,5.0306
f1,2023-5-6 21:00,4.23
f1,2023-5-6 21:15,3.337
f1,2023-5-6 21:30,4.3135
f1,2023-5-6 21:45,5.226
f1,2023-5-6 22:00,4.612
f1,2023-5-6 22:15,5.0306
f1,2023-5-6 22:30,4.23
f1,2023-5-6 22:45,3.337
f1,2023-5-6 23:00,4.3135
f1,2023-5-6 23:15,5.226
f1,2023-5-6 23:30,4.612
f1,2023-5-6 23:45,5.0306
f1,2023-5-7 0:00,4.23
f1,2023-5-7 0:15,3.337
f1,2023-5-7 0:30,4.3135
f1,2023-5-7 0:45,5.226
f1,2023-5-7 1:00,4.612
f1,2023-5-7 1:15,5.0306
f1,2023-5-7 1:30,4.23
f1,2023-5-7 1:45,3.337
f1,2023-5-7 2:00,4.3135
f1,2023-5-7 2:15,5.226
f1,2023-5-7 2:30,4.612
f1,2023-5-7 2:45,5.0306
f1,2023-5-7 3:00,4.23
f1,2023-5-7 3:15,3.337
f1,2023-5-7 3:30,4.3135
f1,2023-5-7 3:45,5.226
f1,2023-5-7 4:00,4.612
f1,2023-5-7 4:15,5.0306
f1,2023-5-7 4:30,4.23
f1,2023-5-7 4:45,3.337
f1,2023-5-7 5:00,4.3135
f1,2023-5-7 5:15,5.226
f1,2023-5-7 5:30,4.612
f1,2023-5-7 5:45,5.0306
f1,2023-5-7 6:00,4.23
f1,2023-5-7 6:15,3.337
f1,2023-5-7 6:30,4.3135
f1,2023-5-7 6:45,5.226
f1,2023-5-7 7:00,4.612
f1,2023-5-7 7:15,5.0306
f1,2023-5-7 7:30,4.23
f1,2023-5-7 7:45,3.337
f1,2023-5-7 8:00,4.3135
f1,2023-5-7 8:15,5.226
f1,2023-5-7 8:30,4.612
f1,2023-5-7 8:45,5.0306
f1,2023-5-7 9:00,4.23
f1,2023-5-7 9:15,3.337
f1,2023-5-7 9:30,4.3135
f1,2023-5-7 9:45,5.226
f1,2023-5-7 10:00,4.612
f1,2023-5-7 10:15,5.0306
f1,2023-5-7 10:30,4.23
f1,2023-5-7 10:45,3.337
f1,2023-5-7 11:00,4.3135
f1,2023-5-7 11:15,5.226
f1,2023-5-7 11:30,4.612
f1,2023-5-7 11:45,5.0306
f1,2023-5-7 12:00,4.23
f1,2023-5-7 12:15,3.337
f1,2023-5-7 12:30,4.3135
f1,2023-5-7 12:45,5.226
f1,2023-5-7 13:00,4.612
f1,2023-5-7 13:15,5.0306
f1,2023-5-7 13:30,4.23
f1,2023-5-7 13:45,3.337
f1,2023-5-7 14:00,4.3135
f1,2023-5-7 14:15,5.226
f1,2023-5-7 14:30,4.612
f1,2023-5-7 14:45,5.0306
f1,2023-5-7 15:00,4.23
f1,2023-5-7 15:15,3.337
f1,2023-5-7 15:30,4.3135
f1,2023-5-7 15:45,5.226
f1,2023-5-7 16:00,4.612
f1,2023-5-7 16:15,5.0306
f1,2023-5-7 16:30,4.23
f1,2023-5-7 16:45,3.337
f1,2023-5-7 17:00,4.3135
f1,2023-5-7 17:15,5.226
f1,2023-5-7 17:30,4.612
f1,2023-5-7 17:45,5.0306
f1,2023-5-7 18:00,4.23
f1,2023-5-7 18:15,3.337
f1,2023-5-7 18:30,4.3135
f1,2023-5-7 18:45,5.226
f1,2023-5-7 19:00,4.612
f1,2023-5-7 19:15,5.0306
f1,2023-5-7 19:30,4.23
f1,2023-5-7 19:45,3.337
f1,2023-5-7 20:00,4.3135
f1,2023-5-7 20:15,5.226
f1,2023-5-7 20:30,4.612
f1,2023-5-7 20:45,5.0306
f1,2023-5-7 21:00,4.23
f1,2023-5-7 21:15,3.337
f1,2023-5-7 21:30,4.3135
f1,2023-5-7 21:45,5.226
f1,2023-5-7 22:00,4.612
f1,2023-5-7 22:15,5.0306
f1,2023-5-7 22:30,4.23
f1,2023-5-7 22:45,3.337
f1,2023-5-7 23:00,4.3135
f1,2023-5-7 23:15,5.226
f1,2023-5-7 23:30,4.612
f1,2023-5-7 23:45,5.0306
f1,2023-5-8 0:00,4.23
f1,2023-5-8 0:15,3.337
f1,2023-5-8 0:30,4.3135
f1,2023-5-8 0:45,5.226
f1,2023-5-8 1:00,4.612
f1,2023-5-8 1:15,5.0306
f1,2023-5-8 1:30,4.23
f1,2023-5-8 1:45,3.337
f1,2023-5-8 2:00,4.3135
f1,2023-5-8 2:15,5.226
f1,2023-5-8 2:30,4.612
f1,2023-5-8 2:45,5.0306
f1,2023-5-8 3:00,4.23
f1,2023-5-8 3:15,3.337
f1,2023-5-8 3:30,4.3135
f1,2023-5-8 3:45,5.226
f1,2023-5-8 4:00,4.612
f1,2023-5-8 4:15,5.0306
f1,2023-5-8 4:30,4.23
f1,2023-5-8 4:45,3.337
f1,2023-5-8 5:00,4.3135
f1,2023-5-8 5:15,5.226
f1,2023-5-8 5:30,4.612
f1,2023-5-8 5:45,5.0306
f1,2023-5-8 6:00,4.23
f1,2023-5-8 6:15,3.337
f1,2023-5-8 6:30,4.3135
f1,2023-5-8 6:45,5.226
f1,2023-5-8 7:00,4.612
f1,2023-5-8 7:15,5.0306
f1,2023-5-8 7:30,4.23
f1,2023-5-8 7:45,3.337
f1,2023-5-8 8:00,4.3135
f1,2023-5-8 8:15,5.226
f1,2023-5-8 8:30,4.612
f1,2023-5-8 8:45,5.0306
f1,2023-5-8 9:00,4.23
f1,2023-5-8 9:15,3.337
f1,2023-5-8 9:30,4.3135
f1,2023-5-8 9:45,5.226
f1,2023-5-8 10:00,4.612
f1,2023-5-8 10:15,5.0306
f1,2023-5-8 10:30,4.23
f1,2023-5-8 10:45,3.337
f1,2023-5-8 11:00,4.3135
f1,2023-5-8 11:15,5.226
f1,2023-5-8 11:30,4.612
f1,2023-5-8 11:45,5.0306
f1,2023-5-8 12:00,4.23
f1,2023-5-8 12:15,3.337
f1,2023-5-8 12:30,4.3135
f1,2023-5-8 12:45,5.226
f1,2023-5-8 13:00,4.612
f1,2023-5-8 13:15,5.0306
f1,2023-5-8 13:30,4.23
f1,2023-5-8 13:45,3.337
f1,2023-5-8 14:00,4.3135
f1,2023-5-8 14:15,5.226
f1,2023-5-8 14:30,4.612
f1,2023-5-8 14:45,5.0306
f1,2023-5-8 15:00,4.23
f1,2023-5-8 15:15,3.337
f1,2023-5-8 15:30,4.3135
f1,2023-5-8 15:45,5.226
f1,2023-5-8 16:00,4.612
f1,2023-5-8 16:15,5.0306
f1,2023-5-8 16:30,4.23
f1,2023-5-8 16:45,3.337
f1,2023-5-8 17:00,4.3135
f1,2023-5-8 17:15,5.226
f1,2023-5-8 17:30,4.612
f1,2023-5-8 17:45,5.0306
f1,2023-5-8 18:00,4.23
f1,2023-5-8 18:15,3.337
f1,2023-5-8 18:30,4.3135
f1,2023-5-8 18:45,5.226
f1,2023-5-8 19:00,4.612
f1,2023-5-8 19:15,5.0306
f1,2023-5-8 19:30,4.23
f1,2023-5-8 19:45,3.337
f1,2023-5-8 20:00,4.3135
f1,2023-5-8 20:15,5.226
f1,2023-5-8 20:30,4.612
f1,2023-5-8 20:45,5.0306
f1,2023-5-8 21:00,4.23
f1,2023-5-8 21:15,3.337
f1,2023-5-8 21:30,4.3135
f1,2023-5-8 21:45,5.226
f1,2023-5-8 22:00,4.612
f1,2023-5-8 22:15,5.0306
